timestep,frequency,period,aIndex,aName,x,y,z,scalar,i,j,k,dXB,dYB,dZB,dRoll,dPitch,dYaw
2352,9.88145935325188,235.0,6,yaw_cw,-15.6376438141,76.1891479492,-0.998517692089,0.905584096909,-1.0281058227e-09,6.45728359672e-10,0.424166798592,-5.00041696938e-09,-5.279015447e-09,4.62694479211e-05,1.32498655603e-07,9.30418195821e-08,1.04335319996
2353,9.928521718546573,235.0,6,yaw_cw,-15.6376438141,76.1891479492,-0.998508870602,0.881726205349,-1.88818849445e-10,-1.6195399466e-09,0.471761494875,-2.81562795301e-09,-6.14056672177e-09,0.000120907810924,-6.23511269282e-08,1.50561412227e-08,1.04462492466
2354,9.933177344334663,235.0,6,yaw_cw,-15.6376438141,76.1891479492,-0.998493671417,0.855341792107,-2.20237117432e-09,-1.88947524293e-09,0.518064081669,2.27096408345e-09,-6.95328106204e-09,0.000174321670784,6.94957265068e-08,1.12563149912e-08,1.04547595978
2355,9.875177759151653,235.0,6,yaw_cw,-15.6376438141,76.1891479492,-0.998474597931,0.827389895916,2.39833375382e-10,6.08532724211e-10,0.561627984047,4.55264048682e-09,-7.9061184266e-09,0.000210180311115,6.81007605863e-08,1.79584560556e-08,1.04603171349
2356,9.930331721014364,235.0,6,yaw_cw,-15.6376438141,76.1891479492,-0.998451709747,0.796259045601,2.45737741267e-09,3.38960837176e-09,0.604955792427,-9.74789970964e-11,-8.01312971532e-09,0.000234282997553,1.94387155261e-08,3.02128881913e-08,1.04641747475
2357,9.925514342914207,235.0,6,yaw_cw,-15.6376438141,76.1891479492,-0.998428106308,0.763865411282,1.69791725124e-09,1.02876163144e-09,0.645375669003,-5.219523036e-09,-1.04795185862e-08,0.000247940130066,-2.44200748512e-07,-1.82656947345e-08,1.04666936398
2358,9.905846954656994,235.0,6,yaw_cw,-15.6376438141,76.1891479492,-0.99840182066,0.728340148926,1.62207136611e-09,1.84709803008e-10,0.685215771198,-6.76184352955e-09,-1.06355653173e-08,0.000254220096394,-6.34936725419e-08,-5.87962070142e-08,1.04684412479
2359,9.927017802960375,235.0,6,yaw_cw,-15.6376438141,76.1891479492,-0.998375475407,0.690734505653,-3.08372632984e-10,-2.52869236661e-09,0.723108530045,-6.61110854949e-09,-6.07514527573e-09,0.000254092825344,-6.88135060045e-08,8.52992769751e-08,1.04696106911
2360,9.934212520842808,236.0,6,yaw_cw,-15.6376438141,76.1891479492,-0.998349905014,0.65234786272,8.22424461866e-10,-1.28161481427e-09,0.757919728756,-5.605768294e-09,-1.88385462785e-09,0.00024976558052,1.24249552869e-07,2.05331545544e-07,1.04703736305
2361,9.912823579182216,236.0,6,yaw_cw,-15.6376438141,76.1891479492,-0.998325169086,0.61096405983,-6.37119301761e-10,-1.74363579131e-09,0.791658401489,-4.83505679938e-09,1.4789703906e-09,0.000242587397224,-3.7099248118e-08,1.25428343267e-07,1.04709041119
2362,9.915260688155266,236.0,6,yaw_cw,-15.6376438141,76.1891479492,-0.998301565647,0.569128930569,-3.72900654799e-10,-3.70862829335e-09,0.822248339653,-2.15741938203e-10,3.22644400086e-09,0.000234220322454,-2.11686792539e-08,-8.87651054882e-08,1.04712498188
2363,9.911628896188294,236.0,6,yaw_cw,-15.6376438141,76.1891479492,-0.998278200626,0.524427115917,-3.51416740152e-09,-1.67798031026e-09,0.851455390453,6.52479359431e-09,6.38086250504e-09,0.00022329838248,-1.46670418033e-08,-5.54393508878e-08,1.04714906216
2364,9.925373416882797,236.0,6,yaw_cw,-15.6376438141,76.1891479492,-0.998255908489,0.478228807449,-1.48426382296e-09,-3.50201134758e-09,0.878235340118,1.35248257038e-08,8.19977596933e-09,0.000212013124838,-9.10862585357e-09,-5.66420368386e-08,1.04716515541
2365,9.921757684428654,236.0,6,yaw_cw,-15.6376438141,76.1891479492,-0.998235702515,0.432083725929,6.60466625835e-10,-5.04467800866e-09,0.901833534241,1.81158164025e-08,1.50900820728e-08,0.000199962494662,-3.62490815142e-09,-5.72710234792e-08,1.04717540741
2366,9.913995116635821,236.0,6,yaw_cw,-15.6376438141,76.1891479492,-0.998215615749,0.383326858282,3.23558646542e-09,-9.52588452563e-10,0.923612773418,1.81924271203e-08,2.43636293362e-08,0.000187578538316,1.15645946153e-08,5.2560846342e-08,1.0471830368
2367,9.888331718403364,236.0,6,yaw_cw,-15.6376438141,76.1891479492,-0.998197376728,0.333477050066,7.13679337849e-10,2.80088952032e-09,0.942758202553,1.40038443064e-08,2.464370219e-08,0.000175390625373,1.10653900265e-07,3.55221914106e-08,1.04718708992
