timestep,frequency,period,aIndex,aName,x,y,z,scalar,i,j,k,dXB,dYB,dZB,dRoll,dPitch,dYaw
44,19.724256631882884,2.0,9,move_right,0.356653690338,-0.617742061615,-9.08806705475,0.258123427629,0.0189484562725,-0.0707172006369,-0.963333964348,0.618841648102,-1.07186698914,-1.35687494278,-0.115301914513,-1.31202205012e-06,-1.8118013756e-09
45,19.730380419698843,2.0,9,move_right,0.388916313648,-0.673622786999,-9.15420055389,0.258177429438,0.0181980654597,-0.0679166615009,-0.963535487652,0.646298468113,-1.11942386627,-1.23847711086,-0.109750427306,2.28013561809e-07,-2.27077401327e-09
46,19.638001507624743,2.0,9,move_right,0.422569453716,-0.731911838055,-9.21457099915,0.258226841688,0.0174833480269,-0.065249286592,-0.963719785213,0.673357844353,-1.16629242897,-1.13072907925,-0.104591406882,2.00222132207e-07,-9.78372716176e-10
47,19.554502944152024,2.0,9,move_right,0.457591086626,-0.792571127415,-9.26969814301,0.258272081614,0.0168019607663,-0.0627062916756,-0.963888585567,0.699954748154,-1.21236002445,-1.03273320198,-0.0997968837619,4.22613993578e-07,-1.67085445479e-09
48,19.737065253706902,2.0,5,hover,0.493914037943,-0.855484366417,-9.32015132904,0.258792996407,0.00360054662451,-0.0134377339855,-0.965832650661,0.721556127071,-1.24977493286,-0.957293212414,-2.91200041771,2.75423587937e-07,-1.2881660183e-09
49,19.725648068023627,2.0,5,hover,0.53067535162,-0.919156968594,-9.3697347641,0.258599698544,-0.0106290709227,0.0396681502461,-0.965111255646,0.715007722378,-1.23843276501,-0.998502314091,-1.58209776878,-5.72332794491e-07,-1.63784830143e-09
50,19.563988824053475,2.0,7,move_left,0.566447615623,-0.981116533279,-9.42177677155,0.25769713521,-0.0240622404963,0.0898016765714,-0.961742639542,0.683673262596,-1.18415987492,-1.03957295418,-3.08543801308,9.62067701948e-07,5.34044186651e-09
51,19.600650503766566,2.0,7,move_left,0.599685370922,-1.03868579865,-9.47659492493,0.256065011024,-0.0376503169537,0.140513300896,-0.95565122366,0.614983677864,-1.06518554688,-1.10688579082,-1.71729922295,1.32770168193e-07,7.18233206243e-09
52,19.69147562687499,2.0,7,move_left,0.628945946693,-1.089366436,-9.53369426727,0.255844056606,-0.0391235910356,0.146011590958,-0.954826653004,0.534555315971,-0.925878763199,-1.11652576923,-0.209622502327,-1.57411318469e-06,9.35812671798e-09
53,19.372781229070924,2.0,7,move_left,0.654450654984,-1.13354182243,-9.58891963959,0.255900233984,-0.0387544222176,0.144633904099,-0.955036222935,0.466879069805,-0.808659791946,-1.04101991653,0.421157091856,5.71931536797e-07,8.82612916087e-09
54,19.732236863770872,2.0,7,move_left,0.676723539829,-1.17211961746,-9.63921356201,0.256030917168,-0.0378816053271,0.141376495361,-0.955523848534,0.407137483358,-0.70518386364,-0.928460836411,0.38505756855,4.38560704197e-07,9.24933640789e-09
55,19.43174826729921,2.0,7,move_left,0.69603574276,-1.20556950569,-9.68353271484,0.256222844124,-0.0365605168045,0.136446043849,-0.956240355968,0.350612312555,-0.607279062271,-0.809322237968,0.179464668036,-1.07358255264e-06,8.72027516863e-09
56,19.44309806139383,2.0,7,move_left,0.712500631809,-1.23408734798,-9.72188949585,0.256423145533,-0.0351279266179,0.131099537015,-0.956988036633,0.295330107212,-0.511527180672,-0.696162998676,0.111776031554,-9.49953147256e-08,7.78766739984e-09
57,19.746450227863356,2.0,7,move_left,0.726166248322,-1.25775694847,-9.75472068787,0.256596624851,-0.0338363610208,0.126279339194,-0.957636117935,0.240702047944,-0.416908204556,-0.593210637569,0.156113669276,-7.26862623424e-08,7.25502768972e-09
58,19.751843654344242,2.0,7,move_left,0.737061798573,-1.27662861347,-9.78258323669,0.256745755672,-0.0326845757663,0.121980920434,-0.958193063736,0.186645284295,-0.32327875495,-0.50144392252,0.192759856582,1.70089651874e-06,4.17821777177e-09
59,19.631934920686927,2.0,7,move_left,0.745215952396,-1.29075181484,-9.80604839325,0.256884098053,-0.0315781757236,0.117851801217,-0.958709716797,0.133220434189,-0.230743765831,-0.420575976372,0.18410153687,2.94353839081e-07,7.4313364351e-09
60,19.633129558029154,3.0,7,move_left,0.750662922859,-1.30018639565,-9.8256521225,0.257016867399,-0.0304775405675,0.113744154572,-0.959205746651,0.0805248394608,-0.139471784234,-0.34981289506,0.160719737411,-1.03434456378e-06,6.86371803837e-09
61,19.626055748183294,3.0,7,move_left,0.75344312191,-1.30500173569,-9.84188365936,0.257142186165,-0.0294009186327,0.109726145864,-0.959673762321,0.0286670271307,-0.0496509186924,-0.288213521242,0.149194434285,7.94842776486e-07,7.95037369272e-09
62,19.561798958085564,3.0,7,move_left,0.753664791584,-1.30538547039,-9.85448074341,0.257251679897,-0.0284260734916,0.106087997556,-0.960082709789,-0.0192801486701,0.0333965159953,-0.237777292728,0.148033723235,1.17850754577e-06,4.52656001571e-09
63,19.648212863634235,3.0,7,move_left,0.751191437244,-1.30110132694,-9.86596393585,0.257365256548,-0.0273786019534,0.10217884928,-0.960506618023,-0.0721261054277,0.124928995967,-0.18885782361,0.147456511855,5.66976609662e-07,3.2698093122e-09
64,19.275382699369022,3.0,7,move_left,0.746264576912,-1.29256737232,-9.87456226349,0.257464677095,-0.0264277141541,0.0986300483346,-0.960877537727,-0.120892390609,0.209395229816,-0.149436935782,0.142113342881,5.89240812587e-07,1.92972304802e-09
65,19.611831707704823,3.0,7,move_left,0.738880097866,-1.27977716923,-9.88130378723,0.257557868958,-0.0255033075809,0.0951800942421,-0.961225450039,-0.16848950088,0.291836321354,-0.115847542882,0.135513976216,4.66946119104e-07,1.3456383785e-09
66,19.75668164561136,3.0,7,move_left,0.729099154472,-1.26283574104,-9.88646507263,0.257644951344,-0.0246084388345,0.091840416193,-0.961550235748,-0.214869320393,0.372169077396,-0.0874199941754,0.130509451032,7.0601186053e-07,8.26797852405e-10
67,19.573575255268707,3.0,7,move_left,0.716984570026,-1.24185216427,-9.89029598236,0.257726043463,-0.0237447209656,0.0886169448495,-0.961852729321,-0.259997367859,0.450333684683,-0.0635517761111,0.126711517572,1.66106985944e-08,2.08165773508e-09
68,19.694156978382136,3.0,7,move_left,0.702600955963,-1.21693861485,-9.89301395416,0.257801532745,-0.022911047563,0.0855056121945,-0.962134182453,-0.303850054741,0.526289284229,-0.0436944998801,0.122883468866,-2.16868087932e-07,6.08454531204e-09
